claim_id,policy_number,policyholder_name,claim_date,incident_date,incident_type,claim_amount,approved_amount,status,adjuster_name,fraud_flag,fraud_score,region,policy_type,deductible,settlement_date,processing_days
CLM-0001,POL-490463,Customer_0001,2024-08-13,2024-08-09,Liability,135971.12,0,Under Review,Thomas Brown,False,0.21,South,Life,0,,19
CLM-0002,POL-827198,Customer_0002,2025-08-31,2025-08-23,Natural Disaster,120328.17,73597.39,Settled,Lisa Anderson,False,0.21,North,Property,5000,2025-10-11,41
CLM-0003,POL-996972,Customer_0003,2025-04-11,2025-04-05,Theft,17597.94,0,Under Review,Sarah Johnson,False,0.06,East,Auto,500,,10
CLM-0004,POL-965171,Customer_0004,2024-09-23,2024-09-17,Auto Collision,48320.45,0,Denied,Sarah Johnson,True,0.92,Central,Liability,1000,2024-12-15,83
CLM-0005,POL-100656,Customer_0005,2025-06-27,2025-06-26,Theft,17830.02,0,Pending,Maria Garcia,False,0.27,Central,Life,0,,4
CLM-0006,POL-636451,Customer_0006,2025-05-22,2025-05-20,Natural Disaster,104431.99,0,Pending,Aisha Mohammed,False,0.1,Central,Health,250,,25
CLM-0007,POL-672625,Customer_0007,2024-09-12,2024-09-07,Theft,26052.97,0,Pending,Aisha Mohammed,False,0.3,North,Health,250,,21
CLM-0008,POL-464399,Customer_0008,2025-12-05,2025-11-22,Medical Claim,115151.93,84293.46,Settled,David Kim,False,0.15,East,Property,2500,2025-12-20,15
CLM-0009,POL-648936,Customer_0009,2025-03-20,2025-03-07,Natural Disaster,412398.89,0,Denied,David Kim,False,0.19,Central,Property,5000,2025-06-01,73
CLM-0010,POL-135855,Customer_0010,2025-04-01,2025-04-01,Liability,84336.63,0,Under Review,Aisha Mohammed,False,0.18,Central,Life,0,,1
CLM-0011,POL-373676,Customer_0011,2025-02-14,2025-02-07,Natural Disaster,369581.68,0,Under Review,Sarah Johnson,False,0.14,West,Liability,1000,,5
CLM-0012,POL-574842,Customer_0012,2024-11-25,2024-11-18,Natural Disaster,196390.98,152910.05,Settled,Thomas Brown,False,0.03,East,Life,0,2025-02-06,73
CLM-0013,POL-433694,Customer_0013,2024-10-04,2024-10-01,Property Damage,78974.71,0,Denied,Lisa Anderson,False,0.16,East,Auto,1000,2024-11-27,54
CLM-0014,POL-367848,Customer_0014,2024-07-19,2024-07-12,Liability,197778.18,0,Pending,Thomas Brown,False,0.04,Central,Health,250,,21
CLM-0015,POL-733702,Customer_0015,2024-08-18,2024-08-13,Natural Disaster,261921.81,0,Denied,David Kim,True,0.9,Central,Auto,1000,2024-10-26,69
CLM-0016,POL-209690,Customer_0016,2025-01-21,2025-01-18,Liability,92632.93,0,Denied,Sarah Johnson,False,0.17,South,Auto,1000,2025-04-08,77
CLM-0017,POL-945737,Customer_0017,2025-02-16,2025-02-15,Liability,170148.8,0,Denied,Aisha Mohammed,False,0.2,West,Auto,1500,2025-04-22,65
CLM-0018,POL-148695,Customer_0018,2025-05-16,2025-05-12,Natural Disaster,405869.07,0,Denied,James Wilson,False,0.08,South,Health,250,2025-07-07,52
CLM-0019,POL-275729,Customer_0019,2025-11-21,2025-11-19,Natural Disaster,167274.06,0,Under Review,David Kim,False,0.17,South,Health,500,,11
CLM-0020,POL-280031,Customer_0020,2024-12-26,2024-12-25,Fire Damage,360638.21,0,Under Review,Michael Chen,False,0.38,South,Life,0,,21
CLM-0021,POL-162982,Customer_0021,2025-10-06,2025-09-29,Medical Claim,58312.87,36819.49,Approved,James Wilson,False,0.13,East,Life,0,2025-12-26,81
CLM-0022,POL-183689,Customer_0022,2025-11-01,2025-10-31,Liability,184404.68,0,Pending,Lisa Anderson,False,0.31,Central,Life,0,,5
CLM-0023,POL-306392,Customer_0023,2025-09-02,2025-08-29,Medical Claim,69038.68,53659.56,Settled,Robert Taylor,True,0.84,Central,Property,5000,2025-10-08,36
CLM-0024,POL-922369,Customer_0024,2024-09-15,2024-09-11,Theft,13548.3,0,Under Review,Michael Chen,False,0.21,South,Life,0,,30
CLM-0025,POL-136687,Customer_0025,2024-09-16,2024-09-15,Fire Damage,117737.17,98727.6,Settled,Priya Patel,False,0.27,West,Life,0,2024-10-25,39
CLM-0026,POL-680517,Customer_0026,2025-11-01,2025-10-21,Liability,118055.77,0,Pending,Michael Chen,False,0.23,Central,Auto,1000,,6
CLM-0027,POL-687163,Customer_0027,2024-08-09,2024-08-08,Fire Damage,147677.73,0,Pending,Aisha Mohammed,False,0.33,South,Auto,1500,,11
CLM-0028,POL-346028,Customer_0028,2024-11-03,2024-10-30,Liability,67822.45,0,Denied,Lisa Anderson,False,0.17,West,Life,0,2024-12-24,51
CLM-0029,POL-125360,Customer_0029,2025-06-05,2025-05-28,Natural Disaster,412857.67,0,Denied,Aisha Mohammed,False,0.24,North,Health,250,2025-08-11,67
CLM-0030,POL-343813,Customer_0030,2024-09-26,2024-09-14,Natural Disaster,313696.9,0,Pending,Lisa Anderson,False,0.28,South,Health,1000,,11
CLM-0031,POL-123174,Customer_0031,2025-04-14,2025-04-13,Natural Disaster,235871.31,0,Denied,Maria Garcia,False,0.09,West,Liability,2000,2025-05-01,17
CLM-0032,POL-567663,Customer_0032,2025-12-23,2025-12-10,Auto Collision,15275.83,0,Under Review,Priya Patel,False,0.21,East,Auto,500,,9
CLM-0033,POL-187853,Customer_0033,2025-10-14,2025-10-05,Theft,33999.31,0,Pending,Maria Garcia,False,0.28,West,Auto,1500,,30
CLM-0034,POL-448925,Customer_0034,2025-07-22,2025-07-15,Theft,21487.94,14932.44,Approved,Aisha Mohammed,False,0.34,South,Health,500,2025-08-23,32
CLM-0035,POL-281067,Customer_0035,2025-03-21,2025-03-16,Property Damage,76619.63,75180.51,Approved,James Wilson,False,0.02,South,Property,1000,2025-05-26,66
CLM-0036,POL-858244,Customer_0036,2025-01-10,2025-01-09,Medical Claim,98499.71,93976.35,Approved,Priya Patel,False,0.22,East,Life,0,2025-02-12,33
CLM-0037,POL-852258,Customer_0037,2024-12-03,2024-11-26,Medical Claim,37261.03,0,Denied,Maria Garcia,False,0.09,Central,Property,2500,2025-02-06,65
CLM-0038,POL-508075,Customer_0038,2025-04-11,2025-04-05,Natural Disaster,271067.88,0,Under Review,James Wilson,False,0.38,West,Health,1000,,2
CLM-0039,POL-432556,Customer_0039,2025-12-14,2025-12-01,Theft,19826.82,0,Pending,Maria Garcia,False,0.34,East,Liability,2000,,1
CLM-0040,POL-307391,Customer_0040,2024-12-08,2024-11-26,Theft,39718.21,0,Denied,Maria Garcia,False,0.24,Central,Health,250,2024-12-23,15
CLM-0041,POL-530573,Customer_0041,2025-12-04,2025-11-21,Fire Damage,160692.48,0,Denied,Priya Patel,False,0.04,West,Auto,500,2025-12-13,9
CLM-0042,POL-651157,Customer_0042,2025-05-01,2025-04-17,Fire Damage,215856.41,186620.46,Approved,Robert Taylor,False,0.22,North,Life,0,2025-06-06,36
CLM-0043,POL-914772,Customer_0043,2025-02-01,2025-01-21,Natural Disaster,119035.43,0,Denied,Thomas Brown,False,0.34,North,Health,250,2025-03-04,31
CLM-0044,POL-582802,Customer_0044,2024-08-09,2024-08-01,Fire Damage,287467.14,257619.5,Approved,Sarah Johnson,False,0.21,East,Auto,1000,2024-10-03,55
CLM-0045,POL-481348,Customer_0045,2024-12-08,2024-11-27,Property Damage,189764.03,0,Under Review,Sarah Johnson,False,0.36,Central,Auto,1500,,29
CLM-0046,POL-821746,Customer_0046,2025-08-15,2025-08-12,Medical Claim,115381.88,0,Pending,Priya Patel,False,0.4,South,Auto,500,,4
CLM-0047,POL-698105,Customer_0047,2024-10-04,2024-09-22,Natural Disaster,427620.16,0,Under Review,Priya Patel,False,0.28,East,Property,2500,,3
CLM-0048,POL-673401,Customer_0048,2025-02-05,2025-01-25,Auto Collision,24615.41,0,Pending,Priya Patel,False,0.12,West,Liability,2000,,3
CLM-0049,POL-328330,Customer_0049,2024-10-03,2024-09-24,Property Damage,211860.37,190027.44,Settled,James Wilson,False,0.34,South,Life,0,2024-12-07,65
CLM-0050,POL-700395,Customer_0050,2025-09-13,2025-09-05,Natural Disaster,140311.7,0,Pending,David Kim,False,0.33,Central,Liability,2000,,3
CLM-0051,POL-751908,Customer_0051,2025-12-03,2025-11-19,Natural Disaster,184136.23,123212.38,Approved,David Kim,False,0.36,East,Auto,500,2026-03-02,89
CLM-0052,POL-880266,Customer_0052,2025-01-04,2025-01-03,Fire Damage,341767.27,299015.84,Settled,Lisa Anderson,False,0.02,East,Health,500,2025-01-08,4
CLM-0053,POL-304249,Customer_0053,2025-12-20,2025-12-09,Natural Disaster,78355.23,47416.34,Approved,Michael Chen,True,0.9,South,Life,0,2026-03-10,80
CLM-0054,POL-474464,Customer_0054,2025-07-20,2025-07-15,Liability,164470.54,148601.38,Approved,Maria Garcia,False,0.04,West,Property,1000,2025-09-04,46
CLM-0055,POL-594347,Customer_0055,2025-01-22,2025-01-16,Fire Damage,23476.83,0,Pending,Michael Chen,False,0.04,East,Auto,500,,15
CLM-0056,POL-136214,Customer_0056,2025-07-09,2025-06-30,Fire Damage,37609.05,29686.03,Settled,David Kim,False,0.36,North,Health,1000,2025-08-31,53
CLM-0057,POL-754227,Customer_0057,2025-08-24,2025-08-18,Property Damage,65865.67,0,Denied,Robert Taylor,False,0.28,Central,Property,2500,2025-09-07,14
CLM-0058,POL-778953,Customer_0058,2024-12-04,2024-11-27,Theft,22242.21,0,Under Review,James Wilson,False,0.11,South,Life,0,,22
CLM-0059,POL-302675,Customer_0059,2025-01-30,2025-01-16,Natural Disaster,335100.62,229815.08,Approved,Priya Patel,False,0.18,East,Life,0,2025-03-06,35
CLM-0060,POL-859482,Customer_0060,2024-12-09,2024-11-29,Natural Disaster,359128.4,0,Pending,Aisha Mohammed,False,0.23,East,Property,1000,,2
CLM-0061,POL-238550,Customer_0061,2025-10-25,2025-10-11,Liability,149132.82,0,Pending,James Wilson,False,0.06,South,Auto,1500,,3
CLM-0062,POL-890098,Customer_0062,2024-08-03,2024-07-21,Property Damage,6652.13,0,Under Review,David Kim,False,0.06,South,Life,0,,21
CLM-0063,POL-254735,Customer_0063,2025-07-02,2025-06-23,Fire Damage,216754.15,0,Under Review,Michael Chen,False,0.07,North,Auto,1500,,29
CLM-0064,POL-823730,Customer_0064,2025-11-03,2025-11-03,Natural Disaster,477115.46,335737.14,Approved,James Wilson,False,0.3,Central,Life,0,2025-12-12,39
CLM-0065,POL-393966,Customer_0065,2025-03-19,2025-03-10,Natural Disaster,478908.97,0,Under Review,David Kim,False,0.02,West,Life,0,,22
CLM-0066,POL-217395,Customer_0066,2024-11-22,2024-11-11,Fire Damage,160581.65,0,Under Review,James Wilson,False,0.34,North,Life,0,,7
CLM-0067,POL-548823,Customer_0067,2025-04-16,2025-04-13,Theft,5973.53,4784.12,Approved,Priya Patel,False,0.19,West,Liability,1000,2025-05-24,38
CLM-0068,POL-955232,Customer_0068,2025-08-14,2025-08-02,Fire Damage,200593.59,142311.06,Settled,Aisha Mohammed,False,0.3,Central,Property,5000,2025-08-31,17
CLM-0069,POL-536450,Customer_0069,2025-02-17,2025-02-03,Medical Claim,62837.22,58103.54,Settled,Lisa Anderson,False,0.08,West,Property,1000,2025-04-20,62
CLM-0070,POL-724322,Customer_0070,2025-11-18,2025-11-05,Liability,141391.42,0,Under Review,James Wilson,False,0.19,Central,Liability,2000,,13
CLM-0071,POL-417430,Customer_0071,2024-08-11,2024-08-01,Fire Damage,226725.49,157680.92,Settled,Lisa Anderson,False,0.2,East,Auto,500,2024-09-19,39
CLM-0072,POL-490488,Customer_0072,2025-03-13,2025-03-04,Auto Collision,5483.85,0,Pending,David Kim,False,0.22,East,Property,5000,,26
CLM-0073,POL-677814,Customer_0073,2025-04-20,2025-04-17,Fire Damage,143788.82,136476.54,Approved,Priya Patel,False,0.2,North,Liability,2000,2025-07-02,73
CLM-0074,POL-166992,Customer_0074,2025-05-02,2025-05-02,Fire Damage,387490.71,380633.8,Settled,David Kim,False,0.23,North,Property,2500,2025-07-01,60
CLM-0075,POL-234278,Customer_0075,2025-03-05,2025-03-03,Property Damage,141844.48,0,Denied,David Kim,False,0.33,South,Life,0,2025-03-12,7
CLM-0076,POL-818623,Customer_0076,2025-01-07,2025-01-03,Auto Collision,24174.43,23070.17,Approved,Aisha Mohammed,False,0.21,East,Health,1000,2025-03-25,77
CLM-0077,POL-711419,Customer_0077,2025-04-21,2025-04-19,Liability,26161.81,25156.66,Settled,Sarah Johnson,False,0.12,Central,Liability,2000,2025-06-23,63
CLM-0078,POL-432180,Customer_0078,2025-12-13,2025-12-10,Property Damage,82210.68,56359.73,Approved,Maria Garcia,False,0.38,Central,Life,0,2026-03-12,89
CLM-0079,POL-861832,Customer_0079,2024-10-01,2024-09-28,Natural Disaster,401543.89,0,Pending,Thomas Brown,False,0.17,West,Property,2500,,22
CLM-0080,POL-685194,Customer_0080,2025-12-08,2025-12-05,Natural Disaster,382897.07,0,Under Review,Lisa Anderson,False,0.19,East,Auto,1000,,8
CLM-0081,POL-453597,Customer_0081,2024-08-27,2024-08-23,Auto Collision,63210.76,60045.82,Approved,Aisha Mohammed,False,0.03,West,Health,1000,2024-09-16,20
CLM-0082,POL-746706,Customer_0082,2025-04-19,2025-04-11,Auto Collision,22400.61,16703.36,Settled,Lisa Anderson,False,0.02,South,Auto,1000,2025-06-21,63
CLM-0083,POL-770784,Customer_0083,2025-03-09,2025-03-06,Fire Damage,298814.43,0,Pending,Priya Patel,False,0.01,Central,Health,1000,,23
CLM-0084,POL-410829,Customer_0084,2024-09-09,2024-08-31,Natural Disaster,241204.54,0,Denied,Aisha Mohammed,False,0.2,West,Property,1000,2024-12-07,89
CLM-0085,POL-499905,Customer_0085,2024-08-29,2024-08-15,Natural Disaster,21547.68,15240.33,Approved,Sarah Johnson,False,0.35,Central,Liability,2000,2024-10-10,42
CLM-0086,POL-897584,Customer_0086,2025-03-06,2025-02-28,Natural Disaster,24099.82,15946.46,Settled,David Kim,True,0.69,East,Property,5000,2025-04-15,40
CLM-0087,POL-343322,Customer_0087,2025-12-19,2025-12-15,Auto Collision,65167.18,0,Under Review,Priya Patel,False,0.32,West,Property,1000,,19
CLM-0088,POL-961077,Customer_0088,2025-12-21,2025-12-15,Medical Claim,54075.1,45015.44,Approved,David Kim,False,0.38,West,Life,0,2026-01-19,29
CLM-0089,POL-816089,Customer_0089,2025-05-25,2025-05-20,Fire Damage,125427.2,94846.72,Settled,Robert Taylor,False,0.1,Central,Auto,500,2025-08-06,73
CLM-0090,POL-790213,Customer_0090,2025-08-29,2025-08-27,Theft,16047.96,15076.0,Approved,Thomas Brown,False,0.32,North,Property,1000,2025-09-22,24
CLM-0091,POL-376644,Customer_0091,2025-11-23,2025-11-18,Theft,44207.33,0,Under Review,Maria Garcia,False,0.35,East,Liability,1000,,22
CLM-0092,POL-207661,Customer_0092,2025-11-16,2025-11-08,Property Damage,165545.9,131512.26,Approved,Maria Garcia,False,0.4,Central,Property,1000,2025-11-22,6
CLM-0093,POL-980123,Customer_0093,2025-07-28,2025-07-18,Liability,62316.62,54983.49,Settled,Maria Garcia,False,0.11,Central,Health,250,2025-09-13,47
CLM-0094,POL-154869,Customer_0094,2025-09-21,2025-09-13,Auto Collision,32856.43,0,Denied,James Wilson,True,0.99,West,Life,0,2025-12-10,80
CLM-0095,POL-596379,Customer_0095,2024-09-15,2024-09-13,Theft,24929.01,0,Denied,Priya Patel,False,0.34,East,Property,2500,2024-11-24,70
CLM-0096,POL-316941,Customer_0096,2025-01-21,2025-01-15,Theft,43261.43,0,Pending,Michael Chen,False,0.3,East,Property,1000,,25
CLM-0097,POL-890139,Customer_0097,2024-07-13,2024-07-02,Natural Disaster,376936.2,0,Under Review,Priya Patel,False,0.15,Central,Liability,2000,,30
CLM-0098,POL-282503,Customer_0098,2024-10-06,2024-10-06,Medical Claim,102074.13,70484.35,Approved,James Wilson,False,0.16,North,Liability,2000,2024-10-15,9
CLM-0099,POL-350316,Customer_0099,2025-12-24,2025-12-12,Auto Collision,43875.19,0,Denied,Maria Garcia,False,0.36,Central,Life,0,2026-02-17,55
CLM-0100,POL-734155,Customer_0100,2025-11-13,2025-11-11,Theft,41850.52,0,Under Review,Aisha Mohammed,False,0.23,East,Health,250,,28
CLM-0101,POL-409832,Customer_0101,2025-01-18,2025-01-05,Auto Collision,19849.95,0,Denied,Lisa Anderson,False,0.31,North,Property,2500,2025-04-06,78
CLM-0102,POL-353828,Customer_0102,2025-10-03,2025-10-03,Theft,5351.28,4087.55,Settled,Aisha Mohammed,False,0.03,North,Property,1000,2025-10-21,18
CLM-0103,POL-971088,Customer_0103,2025-09-20,2025-09-06,Natural Disaster,335331.79,299571.58,Approved,Priya Patel,False,0.12,North,Life,0,2025-10-26,36
CLM-0104,POL-841377,Customer_0104,2024-11-16,2024-11-14,Natural Disaster,286228.71,0,Denied,Lisa Anderson,False,0.17,East,Auto,500,2025-01-26,71
CLM-0105,POL-951755,Customer_0105,2024-12-14,2024-11-30,Theft,9955.82,9461.91,Settled,David Kim,False,0.04,West,Liability,1000,2025-02-08,56
CLM-0106,POL-790985,Customer_0106,2025-08-29,2025-08-18,Liability,60400.91,0,Under Review,Thomas Brown,False,0.39,North,Life,0,,18
CLM-0107,POL-297119,Customer_0107,2024-09-12,2024-09-11,Medical Claim,8716.56,0,Denied,Robert Taylor,True,0.75,West,Property,5000,2024-09-27,15
CLM-0108,POL-876347,Customer_0108,2025-06-14,2025-05-31,Theft,40797.75,0,Under Review,Robert Taylor,False,0.12,South,Property,1000,,10
CLM-0109,POL-521970,Customer_0109,2025-09-06,2025-08-24,Fire Damage,368431.98,0,Under Review,Maria Garcia,False,0.19,South,Health,500,,26
CLM-0110,POL-357970,Customer_0110,2025-08-15,2025-08-05,Property Damage,158044.76,151937.64,Approved,James Wilson,False,0.25,West,Property,1000,2025-10-15,61
CLM-0111,POL-638538,Customer_0111,2025-11-16,2025-11-15,Auto Collision,43329.21,0,Pending,David Kim,False,0.33,East,Life,0,,17
CLM-0112,POL-824698,Customer_0112,2025-02-07,2025-01-25,Fire Damage,185833.88,0,Denied,Sarah Johnson,False,0.26,West,Life,0,2025-04-25,77
CLM-0113,POL-286952,Customer_0113,2025-12-05,2025-11-27,Medical Claim,62533.99,0,Pending,Priya Patel,False,0.35,West,Liability,1000,,3
CLM-0114,POL-262870,Customer_0114,2025-11-18,2025-11-12,Liability,48497.69,0,Denied,Priya Patel,False,0.37,South,Health,1000,2025-12-01,13
CLM-0115,POL-825606,Customer_0115,2025-11-18,2025-11-15,Property Damage,89912.59,0,Under Review,Lisa Anderson,False,0.05,North,Auto,1000,,4
CLM-0116,POL-395249,Customer_0116,2025-02-25,2025-02-11,Fire Damage,232013.98,227249.6,Settled,Sarah Johnson,True,0.69,North,Auto,1500,2025-05-10,74
CLM-0117,POL-503948,Customer_0117,2025-08-10,2025-08-08,Liability,169012.66,0,Pending,James Wilson,False,0.02,West,Property,1000,,22
CLM-0118,POL-961818,Customer_0118,2024-11-11,2024-11-03,Medical Claim,53044.57,0,Pending,Michael Chen,False,0.19,West,Property,2500,,9
CLM-0119,POL-601677,Customer_0119,2025-12-16,2025-12-13,Natural Disaster,245166.56,0,Pending,Thomas Brown,False,0.19,South,Property,5000,,2
CLM-0120,POL-774268,Customer_0120,2024-09-04,2024-08-24,Liability,85537.42,0,Denied,Aisha Mohammed,True,0.69,South,Liability,2000,2024-10-17,43
CLM-0121,POL-456274,Customer_0121,2025-10-26,2025-10-12,Natural Disaster,116218.76,0,Under Review,Priya Patel,False,0.03,South,Life,0,,3
CLM-0122,POL-215747,Customer_0122,2024-10-17,2024-10-06,Medical Claim,90954.94,58973.1,Settled,Robert Taylor,False,0.13,East,Life,0,2025-01-10,85
CLM-0123,POL-807203,Customer_0123,2024-07-18,2024-07-18,Liability,50627.25,33937.25,Settled,Lisa Anderson,False,0.03,West,Auto,1500,2024-07-29,11
